County,Pop,Pop_65_%,Pop_AA_num,Pop_H_num,Smoking_%,Obesity_%,Diabetes_%,HIV,uninsured_num,Med_HHI,Unemployment,PCP_num,Pop_65_num,Smoker_num,Obesity_num,Diabetes_num,Year,Limited_healthy_food,psed
Alamance,162391,16.8,31842,20870,19,32,12,384,17976,47914,3433,75,27281.688,30854.29,51965.12,19486.92,2019,15144,23361
Alexander,37286,19.9,2158,1790,19,31,12,51,3705,48577,667,7,7419.914,7084.34,11558.66,4474.32,2019,1099,3974
Alleghany,11031,26.8,170,1064,19,29,13,,1339,38994,223,12,2956.308,2095.89,3198.99,1434.03,2019,199,1024
Anson,24991,17.8,12091,1018,22,36,14,90,2437,41266,560,11,4448.398,5498.02,8996.76,3498.74,2019,979,3202
Ashe,26957,24.9,204,1435,17,29,12,13,3251,40611,531,14,6712.293,4582.69,7817.53,3234.84,2019,625,3502
Avery,17536,21.2,774,949,19,29,13,31,2126,40682,335,6,3717.632,3331.84,5085.44,2279.68,2019,32,2446
Beaufort,47088,23.3,11554,3695,18,36,13,90,4734,43497,1032,21,10971.504,8475.84,16951.68,6121.44,2019,1842,5336
Bertie,19224,21.8,11727,442,20,38,15,78,1797,33022,497,4,4190.832,3844.8,7305.12,2883.6,2019,538,2047
Bladen,33478,20.8,11268,2638,21,40,15,87,4408,38059,863,7,6963.424,7030.38,13391.2,5021.7,2019,1032,4191
Brunswick,130897,30.5,13425,6242,15,29,12,167,13022,56227,2901,59,39923.585,19634.55,37960.13,15707.64,2019,5942,15230
Buncombe,257607,19.4,15693,17065,16,22,9,640,22904,50271,4778,367,49975.758,41217.12,56673.54,23184.63,2019,19050,48142
Burke,89293,19.9,5387,5585,20,33,12,82,9950,42179,1736,48,17769.307,17858.6,29466.69,10715.16,2019,12331,10594
Cabarrus,206872,13,36253,21589,17,32,10,320,17123,62167,4339,175,26893.36,35168.24,66199.04,20687.2,2019,12872,37611
Caldwell,81981,19.3,3826,4514,18,34,13,71,9097,44798,1651,37,15822.333,14756.58,27873.54,10657.53,2019,14221,9949
Camden,10581,15.7,1240,301,16,32,12,15,909,64086,209,2,1661.217,1692.96,3385.92,1269.72,2019,89,1752
Carteret,68881,24.2,3864,2898,18,28,11,65,6452,53192,1441,53,16669.202,12398.58,19286.68,7576.91,2019,4697,10656
Caswell,22646,20.9,7328,916,19,31,14,62,2227,44998,473,3,4733.014,4302.74,7020.26,3170.44,2019,782,2665
Catawba,157974,17.3,13426,15554,17,31,12,231,16641,53348,3302,105,27329.502,26855.58,48971.94,18956.88,2019,12078,22127
Chatham,71472,23.7,8666,8916,15,27,12,107,7245,63373,1365,70,16938.864,10720.8,19297.44,8576.64,2019,1527,9525
Cherokee,28087,28.8,394,895,18,29,13,22,3073,38283,566,11,8089.056,5055.66,8145.23,3651.31,2019,941,3184
Chowan,14105,24,4836,530,19,34,15,16,1311,43182,307,11,3385.2,2679.95,4795.7,2115.75,2019,1676,1564
Clay,11074,30.2,120,398,18,29,13,9,1147,43684,199,6,3344.348,1993.32,3211.46,1439.62,2019,133,1312
Cleveland,97334,18.2,20050,3470,21,31,13,185,9372,39911,2242,48,17714.788,20440.14,30173.54,12653.42,2019,7072,11922
Columbus,55936,19.6,16853,3054,21,37,16,150,6341,37639,1245,21,10963.456,11746.56,20696.32,8949.76,2019,775,7187
Craven,102578,18.5,21510,7373,17,31,14,235,9529,51390,1984,73,18976.93,17438.26,31799.18,14360.92,2019,8429,16527
Cumberland,332546,11.8,122184,38556,18,34,13,1274,30261,44065,7339,237,39240.428,59858.28,113065.64,43230.98,2019,40984,68683
Currituck,26331,15.8,1451,999,17,28,13,17,2552,62397,593,7,4160.298,4476.27,7372.68,3423.03,2019,667,3959
Dare,36099,20.6,890,2626,16,24,10,23,3685,57316,1200,23,7436.394,5775.84,8663.76,3609.9,2019,2527,5438
Davidson,165466,17.9,15612,11873,18,33,14,257,17556,47595,3484,38,29618.414,29783.88,54603.78,23165.24,2019,10740,22587
Davie,42456,20.4,2632,2914,16,36,12,26,4131,58147,822,17,8661.024,6792.96,15284.16,5094.72,2019,1331,5466
Duplin,59039,17.8,14302,13350,22,39,17,143,9679,39470,1261,14,10508.942,12988.58,23025.21,10036.63,2019,531,5997
Durham,311640,12.7,113938,42545,16,26,8,1702,33038,60045,6746,365,39578.28,49862.4,81026.4,24931.2,2019,19963,72589
Edgecombe,52747,18.9,30219,2483,22,37,16,273,5104,35130,1723,17,9969.183,11604.34,19516.39,8439.52,2019,4395,5883
Forsyth,376320,15.6,96744,48827,18,33,12,1421,37955,50803,8159,410,58705.92,67737.6,124185.6,45158.4,2019,48861,62552
Franklin,66168,16.4,16836,5568,19,35,11,116,6878,53076,1406,7,10851.552,12571.92,23158.8,7278.48,2019,1346,9164
Gaston,220182,15.8,36496,15640,18,30,12,574,20736,50016,5021,130,34788.756,39632.76,66054.6,26421.84,2019,23227,33300
Gates,11544,19.9,3631,249,17,35,14,14,1055,50164,237,,2297.256,1962.48,4040.4,1616.16,2019,3,1413
Graham,8541,23.3,39,300,19,32,11,,1096,37748,216,2,1990.053,1622.79,2733.12,939.51,2019,99,973
Granville,59557,16.7,18780,4740,18,33,12,285,5419,53142,1162,27,9946.019,10720.26,19653.81,7146.84,2019,2401,8299
Greene,21015,16,7478,3246,20,34,12,87,2791,40131,432,3,3362.4,4203,7145.1,2521.8,2019,,2738
Guilford,526953,14.8,178304,42456,19,33,11,2186,49069,52284,12546,410,77989.044,100121.07,173894.49,57964.83,2019,40698,95545
Halifax,51310,20.1,27168,1516,22,38,16,181,5495,34027,1524,27,10313.31,11288.2,19497.8,8209.6,2019,5133,5373
Harnett,132754,12.1,27536,17186,19,34,10,264,14048,51406,2705,37,16063.234,25223.26,45136.36,13275.4,2019,4500,23992
Haywood,61084,24.4,754,2395,17,29,11,53,5223,47872,1187,44,14904.496,10384.28,17714.36,6719.24,2019,4998,8296
Henderson,115708,25.3,3738,11862,15,29,10,111,12077,51314,2056,102,29274.124,17356.2,33555.32,11570.8,2019,7690,16162
Hertford,23906,19.2,14351,938,21,41,17,133,1998,38786,540,16,4589.952,5020.26,9801.46,4064.02,2019,1306,2869
Hoke,54116,9.5,17918,7248,23,32,10,154,7693,50777,1152,11,5141.02,12446.68,17317.12,5411.6,2019,4011,10683
Hyde,5363,19.7,1534,466,20,31,13,8,541,41214,181,1,1056.511,1072.6,1662.53,697.19,2019,2056,737
Iredell,175711,15.5,20634,13476,17,30,12,167,17695,56559,3706,126,27235.205,29870.87,52713.3,21085.32,2019,8109,27759
Jackson,42973,19.1,902,2496,20,29,10,28,5437,46113,919,40,8207.843,8594.6,12462.17,4297.3,2019,4567,6084
Johnston,196708,13,30578,26978,18,33,12,375,21382,58647,3922,54,25572.04,35407.44,64913.64,23604.96,2019,2592,30669
Jones,9597,21.7,2868,472,19,35,16,17,1034,41523,202,4,2082.549,1823.43,3358.95,1535.52,2019,0,1302
Lee,60430,15.9,11648,11632,19,31,12,169,7231,53297,1372,33,9608.37,11481.7,18733.3,7251.6,2019,2616,8863
Lenoir,56883,19.4,23071,4566,21,35,16,212,6385,39411,1282,25,11035.302,11945.43,19909.05,9101.28,2019,3578,6738
Lincoln,82403,17.5,4500,5839,18,31,12,70,7455,57042,1703,39,14420.525,14832.54,25544.93,9888.36,2019,3678,11247
