County,Pop,Pop_65_%,Pop_AA_%,Pop_H_%,Smoking_%,Obesity_%,Diabetes_%,HIV,uninsured_num,Med_HHI,Unemployment,PCP_num,Pop_65_num,Pop_AA_num,Pop_H_num,Smoker_num,Obesity_num,Diabetes_num,Year,Limited_healthy_food,psed
Guilford,500879,13,32.5,7.3,17,27,10,1883,70701,43299,25047,75,65114.27,162785.675,36564.167,85149.43,135237.33,50087.9,2014,32666,88492
Halifax,54006,17.3,52.9,2.3,21,38,16,144,7423,31253,3017,55,9343.038,28569.174,1242.138,11341.26,20522.28,8640.96,2014,5235,6117
Harnett,122135,10.7,20.6,11.2,26,33,11,191,18962,44998,5410,30,13068.445,25159.81,13679.12,31755.1,40304.55,13434.85,2014,4664,20526
Haywood,58908,22.3,1.1,3.4,26,26,10,49,7680,40022,2489,73,13136.484,647.988,2002.872,15316.08,15316.08,5890.8,2014,4070,7168
Henderson,108266,23.4,3,9.9,17,22,10,80,15357,45168,3727,77,25334.244,3247.98,10718.334,18405.22,23818.52,10826.6,2014,5589,15295
Hertford,24438,16.7,60.1,2.9,27,34,14,128,2953,31861,1029,57,4081.146,14687.238,708.702,6598.26,8308.92,3421.32,2014,1557,3065
Hoke,50536,7.7,32.8,12.6,20,33,11,138,9011,44717,2139,6,3891.272,16575.808,6367.536,10107.2,16676.88,5558.96,2014,4455,9443
Hyde,5859,16.2,31.5,7.3,,32,12,17,849,35301,306,17,949.158,1845.585,427.707,0,1874.88,703.08,2014,1494,713
Iredell,162708,13.7,11.9,6.9,20,28,9,126,21737,49666,8075,67,22290.996,19362.252,11226.852,32541.6,45558.24,14643.72,2014,8663,26378
Jackson,40448,16.7,1.8,5.1,22,33,13,29,7300,37049,1981,97,6754.816,728.064,2062.848,8898.56,13347.84,5258.24,2014,3294,5149
Johnston,174938,11.3,15,13,25,33,12,304,24807,48773,6912,31,19767.994,26240.7,22741.94,43734.5,57729.54,20992.56,2014,2801,28836
Jones,10275,20.1,32.1,4.3,44,34,15,27,1535,35159,467,60,2065.275,3298.275,441.825,4521,3493.5,1541.25,2014,0,1224
Lee,59715,14.1,19.7,18.5,20,29,11,143,9637,43424,3189,54,8419.815,11763.855,11047.275,11943,17317.35,6568.65,2014,5448,7364
Lenoir,59227,16.9,40.3,6.8,16,34,15,239,8747,35634,2904,46,10009.363,23868.481,4027.436,9476.32,20137.18,8884.05,2014,2882,7021
Lincoln,79313,14.5,5.5,6.8,17,28,10,45,11624,47799,3967,46,11500.385,4362.215,5393.284,13483.21,22207.64,7931.3,2014,3985,11564
McDowell,44998,17.4,3.8,5.4,23,34,13,35,5666,36584,2333,38,7829.652,1709.924,2429.892,10349.54,15299.32,5849.74,2014,1478,5894
Macon,33869,25.2,1.3,6.6,21,25,11,28,5537,36438,1706,79,8534.988,440.297,2235.354,7112.49,8467.25,3725.59,2014,810,3277
Madison,20742,18.9,1.3,2.1,22,30,11,14,2775,37644,930,53,3920.238,269.646,435.582,4563.24,6222.6,2281.62,2014,739,2591
Martin,23961,19.3,43.2,3.3,12,34,15,68,3217,33159,1293,37,4624.473,10351.152,790.713,2875.32,8146.74,3594.15,2014,251,2806
Mecklenburg,969031,9.4,30.5,12.4,14,26,8,4470,136608,55392,46928,87,91088.914,295554.455,120159.844,135664.34,251948.06,77522.48,2014,60416,218036
Mitchell,15368,22.3,0.4,4.3,26,29,12,16,2154,36210,839,91,3427.064,61.472,660.824,3995.68,4456.72,1844.16,2014,398,1836
Montgomery,27668,17.3,18.7,14.3,,31,13,42,4637,35272,1282,29,4786.564,5173.916,3956.524,0,8577.08,3596.84,2014,85,3327
Moore,90302,23.4,13.2,6.1,15,29,11,131,11177,49670,3382,92,21130.668,11919.864,5508.422,13545.3,26187.58,9933.22,2014,5313,13379
Nash,95708,15,37.6,6.4,22,33,12,258,12675,40937,5530,60,14356.2,35986.208,6125.312,21055.76,31583.64,11484.96,2014,3873,12737
New Hanover,209234,14.8,14.5,5.3,18,26,11,585,29665,50890,9886,88,30966.632,30338.93,11089.402,37662.12,54400.84,23015.74,2014,15976,41739
Northampton,21428,21.6,58,1.5,22,31,14,72,2673,31217,976,9,4628.448,12428.24,321.42,4714.16,6642.68,2999.92,2014,594,1763
Onslow,183263,7.9,15,10.5,25,28,9,222,20096,44263,5979,33,14477.777,27489.45,19242.615,45815.75,51313.64,16493.67,2014,19475,32468
Orange,137941,10.3,11.8,8.2,12,21,7,284,16085,53026,4603,198,14207.923,16277.038,11311.162,16552.92,28967.61,9655.87,2014,15204,26405
Pamlico,13074,23.8,20.1,3.1,,30,13,24,1567,41004,528,38,3111.612,2627.874,405.294,0,3922.2,1699.62,2014,307,1425
Pasquotank,40591,14.4,37.3,4.2,35,33,12,96,5026,43935,1845,54,5845.104,15140.443,1704.822,14206.85,13395.03,4870.92,2014,3707,6187
Pender,54195,16.2,17.5,6.2,28,29,12,60,7845,43318,2635,32,8779.59,9484.125,3360.09,15174.6,15716.55,6503.4,2014,1746,7490
Perquimans,13563,23,24.7,2.1,21,32,14,31,1644,42494,531,22,3119.49,3350.061,284.823,2848.23,4340.16,1898.82,2014,72,1587
Person,39268,16.2,26.9,4.1,27,33,14,67,5082,42546,1952,33,6361.416,10563.092,1609.988,10602.36,12958.44,5497.52,2014,1018,5285
Pitt,172554,10.5,34,5.5,19,36,9,480,22633,39343,8319,99,18118.17,58668.36,9490.47,32785.26,62119.44,15529.86,2014,5320,30511
Polk,20271,26.1,4.3,5.7,19,23,10,19,2688,41719,719,54,5290.731,871.653,1155.447,3851.49,4662.33,2027.1,2014,32,2068
Randolph,142466,15.2,5.7,10.6,23,29,10,144,23009,41815,7090,48,21654.832,8120.562,15101.396,32767.18,41315.14,14246.6,2014,10145,17522
Richmond,46627,15.1,30.5,6.1,26,31,13,120,7635,30726,2514,43,7040.677,14221.235,2844.247,12123.02,14454.37,6061.51,2014,2327,5448
Robeson,135496,12,24.2,8.1,26,41,16,384,28182,29965,7268,44,16259.52,32790.032,10975.176,35228.96,55553.36,21679.36,2014,8116,14736
Rockingham,92720,17.4,18.7,5.6,28,32,12,125,12548,37577,4965,42,16133.28,17338.64,5192.32,25961.6,29670.4,11126.4,2014,10750,11668
Rowan,138180,15.5,16,7.8,25,33,13,326,19900,40400,7117,43,21417.9,22108.8,10778.04,34545,45599.4,17963.4,2014,12245,18161
Rutherford,67323,18.4,10,3.6,27,30,12,46,9687,34193,3688,55,12387.432,6732.3,2423.628,18177.21,20196.9,8078.76,2014,6553,8936
Sampson,63949,15.1,26.7,16.9,17,37,13,138,11140,37420,2792,50,9656.299,17074.383,10807.381,10871.33,23661.13,8313.37,2014,1418,7287
Scotland,36094,14.8,38.7,2.4,25,36,14,120,5300,31704,2235,75,5341.912,13968.378,866.256,9023.5,12993.84,5053.16,2014,2744,3817
Stanly,60576,16.5,10.9,3.7,25,27,12,70,8045,42816,2961,43,9995.04,6602.784,2241.312,15144,16355.52,7269.12,2014,1527,8327
Stokes,46783,17.7,4,2.7,36,26,10,33,6052,42272,2154,17,8280.591,1871.32,1263.141,16841.88,12163.58,4678.3,2014,2692,5560
Surry,73561,17.7,3.6,9.9,28,31,13,53,11445,36934,3349,72,13020.297,2648.196,7282.539,20597.08,22803.91,9562.93,2014,2486,9372
Swain,14141,17.7,0.7,4.1,30,34,15,12,2362,36280,946,107,2502.957,98.987,579.781,4242.3,4807.94,2121.15,2014,384,1913
Transylvania,32849,27.5,3.9,2.9,23,24,10,27,4485,40642,1228,70,9033.475,1281.111,952.621,7555.27,7883.76,3284.9,2014,1035,3572
Tyrrell,4338,17.5,37.2,6.2,,31,13,8,660,30728,235,,759.15,1613.736,268.956,0,1344.78,563.94,2014,258,469
Union,208520,10.5,11.6,10.7,16,27,9,175,26570,61260,8342,57,21894.6,24188.32,22311.64,33363.2,56300.4,18766.8,2014,7090,36622
Vance,45132,15.2,49.7,6.8,28,33,14,162,6556,34371,2590,51,6860.064,22430.604,3068.976,12636.96,14893.56,6318.48,2014,2127,4711
Wake,952151,9.2,20.4,9.9,13,25,7,2670,108244,64107,37004,80,87597.892,194238.804,94262.949,123779.63,238037.75,66650.57,2014,38115,221324
Warren,20576,20.3,52.1,3.4,23,35,16,41,2975,33068,983,14,4176.928,10720.096,699.584,4732.48,7201.6,3292.16,2014,937,1900
Washington,12736,20,49.5,3.7,,33,14,46,1493,32545,771,39,2547.2,6304.32,471.232,0,4202.88,1783.04,2014,1289,1457
Watauga,51871,13.3,1.7,3.4,16,28,9,29,7354,38563,2035,82,6898.843,881.807,1763.614,8299.36,14523.88,4668.39,2014,1705,7196
Wayne,124246,13.7,31.3,10.1,24,34,12,391,18704,38776,4925,52,17021.702,38888.998,12548.846,29819.04,42243.64,14909.52,2014,10074,18528
Wilkes,69306,18.7,4.1,5.5,28,29,13,44,10595,35362,3284,43,12960.222,2841.546,3811.83,19405.68,20098.74,9009.78,2014,3844,8298
Wilson,81867,15.4,38.9,9.6,12,35,14,308,12161,37440,5154,41,12607.518,31846.263,7859.232,9824.04,28653.45,11461.38,2014,2295,10467
Yadkin,38084,17.2,3.1,9.9,26,30,10,25,5836,40012,1699,29,6550.448,1180.604,3770.316,9901.84,11425.2,3808.4,2014,161,4393
Yancey,17630,21.9,0.7,4.5,21,29,11,10,2812,36019,885,73,3860.97,123.41,793.35,3702.3,5112.7,1939.3,2014,0,2072
