County,Pop,Pop_65_%,Pop_AA_num,Pop_H_num,Smoking_%,Obesity_%,Diabetes_%,HIV,uninsured_num,Med_HHI,Unemployment,PCP_num,Pop_65_num,Smoker_num,Obesity_num,Diabetes_num,Year,Limited_healthy_food,psed
Alamance,158276,16.4,30066,19651,19,35,11,348,19187,41566,4123,79,25957.264,30072.44,55396.6,17410.36,2017,17081,22188
Alexander,37325,19.5,2145,1670,19,34,12,34,4336,41092,873,7,7278.375,7091.75,12690.5,4479,2017,845,4111
Alleghany,10837,25.2,168,1046,19,27,13,,1520,36113,277,12,2730.924,2059.03,2925.99,1408.81,2017,152,1070
Anson,25759,17,12533,964,22,35,15,98,2963,35307,711,11,4379.03,5666.98,9015.65,3863.85,2017,825,3035
Ashe,27020,24.1,196,1439,17,29,12,9,3732,35238,743,13,6511.82,4593.4,7835.8,3242.4,2017,679,3224
Avery,17689,20.9,763,852,18,26,11,7,2243,37120,454,6,3697.001,3184.02,4599.14,1945.79,2017,0,2503
Beaufort,47651,22.1,11747,3708,18,33,13,111,5152,41725,1335,25,10530.871,8577.18,15724.83,6194.63,2017,2430,5560
Bertie,20199,20.1,12350,355,21,36,14,69,1992,31967,627,5,4059.999,4241.79,7271.64,2827.86,2017,1010,1759
Bladen,34318,19.4,11589,2704,21,38,15,99,4720,33882,1185,9,6657.692,7206.78,13040.84,5147.7,2017,1135,4295
Brunswick,122765,28,13166,5874,16,28,11,145,13776,48831,3496,56,34374.2,19642.4,34374.2,13504.15,2017,5207,14597
Buncombe,253178,18.6,15992,16644,16,24,10,495,27680,45094,5688,343,47091.108,40508.48,60762.72,25317.8,2017,20608,46421
Burke,88842,19,5431,5380,18,32,12,84,11301,42711,2264,48,16879.98,15991.56,28429.44,10661.04,2017,11106,10621
Cabarrus,196762,12.7,32874,19838,17,30,10,259,19913,57881,5011,174,24988.774,33449.54,59028.6,19676.2,2017,10316,34508
Caldwell,81287,18.2,3926,4083,20,33,14,60,10508,39636,2240,38,14794.234,16257.4,26824.71,11380.18,2017,13048,10265
Camden,10309,14.9,1247,291,16,31,11,12,1012,62000,267,2,1536.041,1649.44,3195.79,1133.99,2017,98,1975
Carteret,68879,22.6,4028,3074,16,26,10,65,7952,50837,1864,51,15566.654,11020.64,17908.54,6887.9,2017,4636,10401
Caswell,22941,20.3,7507,808,19,36,13,45,2523,40504,614,3,4657.023,4358.79,8258.76,2982.33,2017,1453,2610
Catawba,155056,16.6,13163,14260,18,30,14,211,17869,41745,4161,110,25739.296,27910.08,46516.8,21707.84,2017,15270,21199
Chatham,70928,25,8767,8797,16,27,12,96,7230,58860,1564,65,17732,11348.48,19150.56,8511.36,2017,2209,9101
Cherokee,27178,27.4,409,842,18,30,13,16,3454,38284,725,13,7446.772,4892.04,8153.4,3533.14,2017,33,3045
Chowan,14394,23.1,4870,504,19,34,13,24,1638,40794,410,10,3325.014,2734.86,4893.96,1871.22,2017,1093,1492
Clay,10703,29.3,109,345,18,29,13,8,1276,38980,251,7,3135.979,1926.54,3103.87,1391.39,2017,173,1327
Cleveland,96879,17.5,20091,3133,20,31,12,194,10201,40237,2970,49,16953.825,19375.8,30032.49,11625.48,2017,5453,11777
Columbus,56694,18.3,16984,2817,21,31,16,164,7296,34478,1720,18,10375.002,11905.74,17575.14,9071.04,2017,801,7754
Craven,103451,17.8,21790,7467,18,30,10,322,10781,47805,2535,75,18414.278,18621.18,31035.3,10345.1,2017,6449,15737
Cumberland,323838,11.3,117194,36449,19,32,12,1334,34126,42380,9319,246,36593.694,61529.22,103628.16,38860.56,2017,40879,66581
Currituck,25263,15.3,1455,943,17,29,11,21,2821,66426,748,4,3865.239,4294.71,7326.27,2778.93,2017,649,3572
Dare,35663,19.3,939,2497,16,27,10,44,4387,53585,1509,22,6882.959,5706.08,9629.01,3566.3,2017,3365,5826
Davidson,164622,17.3,15207,11335,19,31,11,225,19424,46400,4386,46,28479.606,31278.18,51032.82,18108.42,2017,10440,22424
Davie,41753,19.6,2651,2714,16,29,11,28,4188,52525,1000,17,8183.588,6680.48,12108.37,4592.83,2017,1115,5099
Duplin,59159,16.5,14565,12866,20,32,14,160,10413,38397,1543,13,9761.235,11831.8,18930.88,8282.26,2017,478,6372
Durham,300952,11.5,111550,40315,16,29,9,1546,34769,53875,7815,362,34609.48,48152.32,87276.08,27085.68,2017,16716,68975
Edgecombe,54150,17.6,30914,2311,23,41,16,327,6063,32529,2219,17,9530.4,12454.5,22201.5,8664,2017,5364,6056
Forsyth,369019,14.7,94465,46748,19,31,11,1384,42806,47346,9874,401,54245.793,70113.61,114395.89,40592.09,2017,42198,60796
Franklin,63710,15.6,16452,5132,19,31,14,116,8236,48009,1700,11,9938.76,12104.9,19750.1,8919.4,2017,1318,8681
Gaston,213442,15.4,33954,14077,19,33,14,530,25666,45031,6160,140,32870.068,40553.98,70435.86,29881.88,2017,22025,32313
Gates,11431,18,3681,244,18,34,13,13,1203,46387,288,,2057.58,2057.58,3886.54,1486.03,2017,2,1315
Graham,8616,22.8,42,297,20,28,12,,1147,33827,386,2,1964.448,1723.2,2412.48,1033.92,2017,152,840
Granville,58674,15.9,18467,4465,19,36,12,245,6082,50314,1424,29,9329.166,11148.06,21122.64,7040.88,2017,1637,7816
Greene,21134,15,7572,3123,22,36,13,79,2856,35060,525,4,3170.1,4649.48,7608.24,2747.42,2017,0,2627
Guilford,517600,14.1,172566,40437,18,31,10,2107,57284,48283,15058,399,72981.6,93168,160456,51760,2017,32666,92529
Halifax,52456,19,27557,1466,22,39,14,162,5986,31952,1853,32,9966.64,11540.32,20457.84,7343.84,2017,5235,5944
Harnett,128140,11.4,26408,15782,21,33,11,198,15333,48301,3379,38,14607.96,26909.4,42286.2,14095.4,2017,4664,22671
Haywood,59868,24,763,2233,18,30,12,48,6339,43573,1454,44,14368.32,10776.24,17960.4,7184.16,2017,4070,7747
Henderson,112655,24.8,3702,11215,15,27,10,77,12931,47280,2398,97,27938.44,16898.25,30416.85,11265.5,2017,5589,15399
Hertford,24184,18,14442,829,22,37,14,128,2552,34453,654,11,4353.12,5320.48,8948.08,3385.76,2017,1557,2939
Hoke,52671,8.6,17245,6549,22,35,12,164,7026,42819,1560,5,4529.706,11587.62,18434.85,6320.52,2017,4455,10675
Hyde,5526,18.5,1591,447,18,30,12,16,610,37074,199,1,1022.31,994.68,1657.8,663.12,2017,1494,701
Iredell,169866,14.9,20147,12583,16,29,10,139,18584,55848,4486,115,25310.034,27178.56,49261.14,16986.6,2017,8663,26779
Jackson,41265,18.1,963,2218,19,31,12,32,5572,41537,1129,38,7468.965,7840.35,12792.15,4951.8,2017,3294,5827
Johnston,185660,12.7,28339,24845,17,36,14,317,22433,52681,4551,55,23578.82,31562.2,66837.6,25992.4,2017,2801,28430
Jones,10013,22.1,3068,439,19,34,15,21,1206,39688,265,5,2212.873,1902.47,3404.42,1501.95,2017,0,1351
Lee,59660,15.4,11503,11563,18,30,14,151,7849,44294,1890,32,9187.64,10738.8,17898,8352.4,2017,5448,8376
Lenoir,58106,18.3,23444,4544,21,37,16,241,6877,37085,1790,30,10633.398,12202.26,21499.22,9296.96,2017,2882,6651
Lincoln,81035,16.3,4472,5831,18,28,11,55,9192,49343,2207,33,13208.705,14586.3,22689.8,8913.85,2017,3985,11183
McDowell,44989,18.9,1721,2602,19,31,14,40,5086,37430,1180,16,8502.921,8547.91,13946.59,6298.46,2017,1478,5654
Macon,34201,26.8,542,2313,17,27,12,23,4594,41395,933,26,9165.868,5814.17,9234.27,4104.12,2017,810,3959
Madison,21139,20.4,366,512,18,25,11,14,2219,37899,545,9,4312.356,3805.02,5284.75,2325.29,2017,739,2378
Martin,23357,21.5,9963,903,20,38,16,72,2557,36543,750,8,5021.755,4671.4,8875.66,3737.12,2017,251,2864
Mecklenburg,1034070,10.3,320889,132321,15,24,9,4996,121574,57029,30143,893,106509.21,155110.5,248176.8,93066.3,2017,60416,231325
Mitchell,15246,23.9,104,743,17,29,13,17,1699,39955,439,11,3643.794,2591.82,4421.34,1981.98,2017,398,1737
Montgomery,27548,19,5016,4267,20,31,13,50,3858,39096,665,8,5234.12,5509.6,8539.88,3581.24,2017,85,3063
Moore,94352,24,11899,6049,16,27,11,132,9409,52139,2220,99,22644.48,15096.32,25475.04,10378.72,2017,5313,13932
Nash,93919,17,36902,6211,20,32,13,281,10864,43450,3221,57,15966.23,18783.8,30054.08,12209.47,2017,3873,12625
New Hanover,220358,16.2,30667,12028,17,25,8,601,23547,52456,6054,195,35697.996,37460.86,55089.5,17628.64,2017,15976,42358
Northampton,20426,23.3,11815,418,22,39,16,73,2056,33301,599,2,4759.258,4493.72,7966.14,3268.16,2017,594,1839
Onslow,186311,8.9,27617,22967,21,30,8,252,16159,46144,3856,59,16581.679,39125.31,55893.3,14904.88,2017,19475,36001
Orange,141354,11.5,16720,12053,16,23,8,307,12499,61570,3415,263,16255.71,22616.64,32511.42,11308.32,2017,15204,27285
Pamlico,12781,27.1,2517,480,16,32,15,28,1267,41004,325,5,3463.651,2044.96,4089.92,1917.15,2017,307,1530
Pasquotank,39829,16,14539,1953,19,35,14,107,4457,42171,1284,28,6372.64,7567.51,13940.15,5576.06,2017,3707,6411
Pender,57611,17.4,9361,3728,17,31,12,58,6649,49390,1575,19,10024.314,9793.87,17859.41,6913.32,2017,1746,7883
Perquimans,13440,25.2,3141,322,18,33,14,28,1410,42337,367,3,3386.88,2419.2,4435.2,1881.6,2017,72,1426
Person,39259,17.9,10441,1701,19,33,13,79,4240,43917,1221,15,7027.361,7459.21,12955.47,5103.67,2017,1018,5382
Pitt,175842,11.7,60299,10543,22,34,10,554,19780,41909,5339,189,20573.514,38685.24,59786.28,17584.2,2017,5320,31962
Polk,20366,28.4,913,1172,15,27,13,17,2316,45672,445,12,5783.944,3054.9,5498.82,2647.58,2017,32,2242
Randolph,142799,16.4,8573,16156,18,32,14,157,18018,43216,3805,61,23419.036,25703.82,45695.68,19991.86,2017,10145,18183
Richmond,45437,16.6,14066,2917,22,38,11,119,6121,33017,1359,19,7542.542,9996.14,17266.06,4998.07,2017,2327,5503
Robeson,134197,13.5,32028,11169,27,40,16,421,22439,32128,4365,58,18116.595,36233.19,53678.8,21471.52,2017,8116,15733
Rockingham,91758,18.7,17055,5594,19,35,14,135,10212,40148,2733,37,17158.746,17434.02,32115.3,12846.12,2017,10750,10686
Rowan,139142,16.7,22379,11589,18,33,13,353,17288,44862,3842,62,23236.714,25045.56,45916.86,18088.46,2017,12245,17718
Rutherford,66390,20,6416,2686,20,29,14,52,7522,36998,1963,37,13278,13278,19253.1,9294.6,2017,6553,8127
Sampson,63724,16.4,16416,11952,21,37,14,143,9709,40660,1760,27,10450.736,13382.04,23577.88,8921.36,2017,1418,7200
Scotland,35509,16.6,13749,1012,26,36,14,128,4122,35447,1271,24,5894.494,9232.34,12783.24,4971.26,2017,2744,4166
Stanly,60714,17.8,6794,2460,19,30,12,79,6488,44878,1538,26,10807.092,11535.66,18214.2,7285.68,2017,1527,7931
Stokes,46351,19.7,1879,1382,18,34,13,31,4984,42889,1188,11,9131.147,8343.18,15759.34,6025.63,2017,2692,5994
Surry,72743,19.7,2676,7479,19,31,13,61,9847,38408,1822,45,14330.371,13821.17,22550.33,9456.59,2017,2486,8617
Swain,14434,18.9,213,696,22,33,15,13,2130,36103,524,14,2728.026,3175.48,4763.22,2165.1,2017,384,2108
