County,Pop,Pop_65_%,Pop_AA_num,Pop_H_num,Smoking_%,Obesity_%,Diabetes_%,HIV,uninsured_num,Med_HHI,Unemployment,PCP_num,Pop_65_num,Smoker_num,Obesity_num,Diabetes_num,Year,Limited_healthy_food,psed
Transylvania,33211,28.9,1327,1127,16,24,11,30,3430,45792,744,25,9597.979,5313.76,7970.64,3653.21,2017,1035,3625
Tyrrell,4070,19.6,1457,283,20,31,14,8,562,33759,148,,797.72,814,1261.7,569.8,2017,258,291
Union,222742,11.6,26023,24531,16,27,10,192,22136,71690,5398,130,25838.072,35638.72,60140.34,22274.2,2017,7090,35988
Vance,44568,17.1,22321,3261,21,38,14,175,5377,32698,1557,18,7621.128,9359.28,16935.84,6239.52,2017,2127,4663
Wake,1024198,10.3,208329,103285,14,25,8,2993,93506,70629,25088,861,105492.394,143387.72,256049.5,81935.84,2017,38115,232111
Warren,20155,22.5,10216,795,22,39,14,46,2423,34149,606,2,4534.875,4434.1,7860.45,2821.7,2017,937,1961
Washington,12385,22.1,5932,671,20,33,15,49,1342,35146,440,4,2737.085,2477,4087.05,1857.75,2017,1289,1125
Watauga,52906,14.6,957,1866,20,26,9,28,5464,41762,1351,41,7724.276,10581.2,13755.56,4761.54,2017,1705,7690
Wayne,124132,15,38602,13957,21,34,13,443,15774,41161,3291,64,18619.8,26067.72,42204.88,16137.16,2017,10074,18921
Wilkes,68502,20.2,2925,4174,21,27,11,48,9090,40647,1697,29,13837.404,14385.42,18495.54,7535.22,2017,3844,7911
Wilson,81714,16.8,31927,8405,20,37,12,319,11030,41276,3504,35,13727.952,16342.8,30234.18,9805.68,2017,2295,10347
Yadkin,37585,18.8,1185,4105,19,31,11,29,4609,41208,884,12,7065.98,7141.15,11651.35,4134.35,2017,161,4524
Yancey,17587,23.9,187,861,18,27,11,9,1989,36418,442,14,4203.293,3165.66,4748.49,1934.57,2017,0,2096
