County,Pop,Pop_65_%,Pop_AA_num,Pop_H_num,Smoking_%,Obesity_%,Diabetes_%,HIV,uninsured_num,Med_HHI,Unemployment,PCP_num,Pop_65_num,Smoker_num,Obesity_num,Diabetes_num,Year,Limited_healthy_food,psed
Alamance,166436,16.9,33111,21499,17,32,13,,16690,50480,18526,32,28127.684,28294.12,53259.52,21636.68,2020,15144,23657
Alexander,37353,20,2145,1801,17,35,18,,3476,49138,3823,35,7470.6,6350.01,13073.55,6723.54,2020,1099,4063
Alleghany,11161,27.1,174,1109,17,26,11,,1309,39735,1451,26,3024.631,1897.37,2901.86,1227.71,2020,199,924
Anson,24877,18.5,11996,1074,20,39,19,,2191,38023,2374,39,4602.245,4975.4,9702.03,4726.63,2020,979,3140
Ashe,27109,25.7,201,1406,17,26,17,,2892,41864,3155,26,6967.013,4608.53,7048.34,4608.53,2020,625,3504
Avery,17505,22.2,773,909,17,27,18,,2096,41701,2279,27,3886.11,2975.85,4726.35,3150.9,2020,32,2479
Beaufort,47079,24,11463,3769,18,39,11,,4557,46411,4972,39,11298.96,8474.22,18360.81,5178.69,2020,1842,5618
Bertie,19026,23,11554,426,20,43,20,,1676,35433,1823,43,4375.98,3805.2,8181.18,3805.2,2020,538,2220
Bladen,33190,21.8,11122,2574,19,44,19,,3913,36976,4353,44,7235.42,6306.1,14603.6,6306.1,2020,1032,3908
Brunswick,136744,31.5,13699,6664,15,29,13,,11124,60163,12208,29,43074.36,20511.6,39655.76,17776.72,2020,5942,15077
Buncombe,259103,20,15624,17326,17,22,8,,25409,53960,27360,22,51820.6,44047.51,57002.66,20728.24,2020,19050,49233
Burke,90382,20.2,6027,5648,17,36,9,,9588,44946,10260,36,18257.164,15364.94,32537.52,8134.38,2020,12331,10710
Cabarrus,211342,13.2,38046,22786,16,36,12,,16833,69297,18736,36,27897.144,33814.72,76083.12,25361.04,2020,12872,38754
Caldwell,82029,19.9,3914,4644,17,39,19,,8409,43328,9088,39,16323.771,13944.93,31991.31,15585.51,2020,14221,9982
Camden,10710,16.3,1243,317,16,32,11,,923,65955,1062,32,1745.73,1713.6,3427.2,1178.1,2020,89,1581
Carteret,69524,25,3817,2965,16,32,11,,5958,55052,6548,32,17381,11123.84,22247.68,7647.64,2020,4697,10553
Caswell,22698,21.5,7245,944,18,29,6,,1914,45517,2151,29,4880.07,4085.64,6582.42,1361.88,2020,782,2670
Catawba,158652,17.9,13454,15748,16,31,11,,15459,53738,17020,31,28398.708,25384.32,49182.12,17451.72,2020,12078,22097
Chatham,73139,24.4,8781,9011,14,24,11,,6741,73703,7746,24,17845.916,10239.46,17553.36,8045.29,2020,1527,9441
Cherokee,28383,29.6,414,936,17,27,13,,2516,41262,2758,27,8401.368,4825.11,7663.41,3689.79,2020,941,3225
Chowan,14029,24.6,4769,518,18,39,17,,1112,42618,1260,39,3451.134,2525.22,5471.31,2384.93,2020,1676,1628
Clay,11139,31.1,128,405,16,31,6,,1054,42878,1193,31,3464.229,1782.24,3453.09,668.34,2020,133,1242
Cleveland,97645,18.6,20162,3572,18,38,15,,8482,42728,9234,38,18161.97,17576.1,37105.1,14646.75,2020,7072,11921
Columbus,55655,20.1,16698,3038,19,46,19,,5581,36862,6192,46,11186.655,10574.45,25601.3,10574.45,2020,775,7014
Craven,102912,19,21460,7590,16,31,15,,7977,50748,9147,31,19553.28,16465.92,31902.72,15436.8,2020,8429,16679
Cumberland,332330,11.9,123373,39430,18,34,12,,26854,46779,29738,34,39547.27,59819.4,112992.2,39879.6,2020,40984,69050
Currituck,27072,16.2,1498,1073,15,29,9,,2453,64426,2837,29,4385.664,4060.8,7850.88,2436.48,2020,667,4267
Dare,36501,21.4,882,2666,16,23,10,,3337,64768,3715,23,7811.214,5840.16,8395.23,3650.1,2020,2527,5687
Davidson,166614,18.2,15816,12182,18,32,16,,15737,47758,17421,32,30323.748,29990.52,53316.48,26658.24,2020,10740,22109
Davie,42733,21.2,2668,2995,15,41,16,,3701,60801,4224,41,9059.396,6409.95,17520.53,6837.28,2020,1331,5311
