County,Pop,Pop_65_%,Pop_AA_num,Pop_H_num,Smoking_%,Obesity_%,Diabetes_%,HIV,uninsured_num,Med_HHI,Unemployment,PCP_num,Pop_65_num,Smoker_num,Obesity_num,Diabetes_num,Year,Limited_healthy_food,psed
Alamance,155792,16.1,29253,18879,19,34,11,347,22338,41296,4273,84,25082.512,29600.48,52969.28,17137.12,2016,17081,21710
Alexander,37392,18.9,2130,1628,19,33,11,33,4612,43043,951,8,7067.088,7104.48,12339.36,4113.12,2016,845,4189
Alleghany,10879,24.5,168,1031,19,26,12,,1870,35266,293,12,2665.355,2067.01,2828.54,1305.48,2016,152,999
Anson,25765,16.4,12447,902,24,35,14,97,3458,32508,760,9,4225.46,6183.6,9017.75,3607.1,2016,825,2901
Ashe,27126,23.6,200,1444,18,26,12,10,4449,36488,833,13,6401.736,4882.68,7052.76,3255.12,2016,679,3072
Avery,17773,20.3,765,837,19,26,11,7,2675,37131,483,12,3607.919,3376.87,4620.98,1955.03,2016,0,2649
Beaufort,47585,21.6,11751,3565,18,33,13,113,6504,40357,1425,24,10278.36,8565.3,15703.05,6186.05,2016,2430,5661
Bertie,20106,19.8,12275,332,23,36,17,70,2395,31217,659,5,3980.988,4624.38,7238.16,3418.02,2016,1010,1879
Bladen,34657,18.7,11767,2655,23,35,15,94,5133,33521,1306,9,6480.859,7971.11,12129.95,5198.55,2016,1135,4258
Brunswick,118836,27,12980,5660,17,29,12,140,15001,47387,3572,52,32085.72,20202.12,34462.44,14260.32,2016,5207,14221
Buncombe,250539,18.1,15827,16210,19,23,10,486,36974,47296,5805,332,45347.559,47602.41,57623.97,25053.9,2016,20608,45660
Burke,89486,18.4,5882,5231,19,32,11,85,12961,39275,2432,53,16465.424,17002.34,28635.52,9843.46,2016,11106,10641
Cabarrus,192103,12.5,31219,19190,18,28,9,250,23286,55250,5231,178,24012.875,34578.54,53788.84,17289.27,2016,10316,34238
