County,Pop,Pop_65_%,Pop_AA_num,Pop_H_num,Smoking_%,Obesity_%,Diabetes_%,HIV,uninsured_num,Med_HHI,Unemployment,PCP_num,Pop_65_num,Smoker_num,Obesity_num,Diabetes_num,Year,Limited_healthy_food,psed
Alamance,159688,16.7,30793,20069,19,33,12,384,18182,46060,3737,76,26667.896,30340.72,52697.04,19162.56,2018,15144,23220
Alexander,37428,20,2095,1740,19,32,12,51,3378,46385,767,7,7485.6,7111.32,11976.96,4491.36,2018,1099,4031
Alleghany,10848,25.5,164,1040,19,28,13,,1466,35965,248,13,2766.24,2061.12,3037.44,1410.24,2018,199,1044
Anson,25448,17.1,12326,1034,22,35,14,90,2569,35809,621,11,4351.608,5598.56,8906.8,3562.72,2018,979,3138
Ashe,26924,24.5,182,1422,17,30,12,13,3538,39709,606,13,6596.38,4577.08,8077.2,3230.88,2018,625,3396
Avery,17516,21.4,724,919,19,28,12,31,2052,38098,386,6,3748.424,3328.04,4904.48,2101.92,2018,32,2408
Beaufort,47526,22.7,11610,3728,18,35,15,90,4939,41431,1162,23,10788.402,8554.68,16634.1,7128.9,2018,1842,5529
Bertie,19854,20.8,12143,414,20,37,13,78,1843,33809,568,5,4129.632,3970.8,7345.98,2581.02,2018,538,1952
Bladen,33741,20.1,11331,2605,21,38,15,87,4530,33621,1020,7,6781.941,7085.61,12821.58,5061.15,2018,1032,4406
Brunswick,126953,29.3,13144,5980,15,28,11,167,12892,51457,3158,63,37197.229,19042.95,35546.84,13964.83,2018,5942,14500
Buncombe,256088,19.1,15877,16421,16,23,9,640,27018,50538,5183,358,48912.808,40974.08,58900.24,23047.92,2018,19050,47039
Burke,88851,19.3,5389,5482,20,32,11,82,10867,41383,1950,47,17148.243,17770.2,28432.32,9773.61,2018,12331,10573
Cabarrus,201590,12.9,34317,20389,17,31,10,320,18785,63059,4577,179,26005.11,34270.3,62492.9,20159,2018,12872,36262
Caldwell,81449,18.6,3834,4185,18,33,14,71,9948,39166,1870,37,15149.514,14660.82,26878.17,11402.86,2018,14221,10137
Camden,10418,15.4,1238,318,16,31,12,15,946,65415,243,2,1604.372,1666.88,3229.58,1250.16,2018,89,1875
Carteret,68890,23.3,3841,3022,18,26,11,65,6994,51557,1637,56,16051.37,12400.2,17911.4,7577.9,2018,4697,10553
Caswell,22910,20.8,7407,878,19,34,13,62,2217,40570,530,3,4765.28,4352.9,7789.4,2978.3,2018,782,2583
Catawba,156459,17,13295,14799,17,30,13,231,17832,49475,3640,107,26598.03,26598.03,46937.7,20339.67,2018,12078,21497
Chatham,72243,25.7,8775,8626,15,26,12,107,7980,63303,1451,64,18566.451,10836.45,18783.18,8669.16,2018,1527,9287
Cherokee,27905,27.7,402,883,18,28,12,22,2939,37237,628,13,7729.685,5022.9,7813.4,3348.6,2018,941,3061
Chowan,14383,23.4,4821,540,19,33,14,16,1524,41151,360,10,3365.622,2732.77,4746.39,2013.62,2018,1676,1586
Clay,10915,30,117,366,18,28,13,9,1137,37581,218,5,3274.5,1964.7,3056.2,1418.95,2018,133,1249
Cleveland,97144,17.8,19986,3358,21,33,13,185,10339,38654,2572,50,17291.632,20400.24,32057.52,12628.72,2018,7072,12070
Columbus,56505,18.8,17151,3011,21,33,15,150,6683,35290,1458,18,10622.94,11866.05,18646.65,8475.75,2018,775,7455
Craven,103445,18.2,21924,7329,17,30,13,235,9499,49524,2198,75,18826.99,17585.65,31033.5,13447.85,2018,8429,16141
Cumberland,327127,11.6,120690,37078,18,33,12,1274,30120,45286,8095,240,37946.732,58882.86,107951.91,39255.24,2018,40984,67543
Currituck,25809,15.5,1464,989,17,28,11,17,2608,57570,668,6,4000.395,4387.53,7226.52,2838.99,2018,667,3626
Dare,35964,20.2,897,2550,16,25,10,23,4204,56371,1353,21,7264.728,5754.24,8991,3596.4,2018,2527,5710
Davidson,164926,17.6,15299,11571,18,30,11,257,18049,46263,3853,42,29026.976,29686.68,49477.8,18141.86,2018,10740,22536
Davie,42013,20,2567,2764,16,32,12,26,4343,54189,911,17,8402.6,6722.08,13444.16,5041.56,2018,1331,5086
Duplin,58969,17,14534,12887,22,36,15,143,10494,38771,1430,14,10024.73,12973.18,21228.84,8845.35,2018,531,6056
Durham,306212,11.9,113507,40931,16,26,8,1702,35020,54255,7230,367,36439.228,48993.92,79615.12,24496.96,2018,19963,70550
Edgecombe,53318,18.2,30693,2285,22,36,16,273,5327,34612,1967,19,9703.876,11729.96,19194.48,8530.88,2018,4395,5963
Forsyth,371511,15.1,95636,47211,18,32,12,1421,39904,48987,8870,401,56098.161,66871.98,118883.52,44581.32,2018,48861,61494
